model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
tree,0.817655959777109,0.6460176991150439,0.899219304471256,1409,208,1201,1,appended,clinicalskills
ensemble,0.8161788253378589,0.666666666666667,0.90347764371895,1409,208,1201,1,appended,clinicalskills
bn,0.8678883043037809,0.606217616580311,0.899402390438247,1004,142,862,2,appended,clinicalskills
tree,0.7784141041142439,0.7024793388429749,0.9073705179282868,1004,142,862,2,appended,clinicalskills
ensemble,0.794279598705925,0.697674418604651,0.909362549800797,1004,142,862,2,appended,clinicalskills
bn,0.9197086804742308,0.617486338797814,0.909512761020882,862,121,741,3,appended,clinicalskills
tree,0.8352962826647041,0.676923076923077,0.9129930394431552,862,121,741,3,appended,clinicalskills
ensemble,0.837995337995338,0.698412698412698,0.917633410672854,862,121,741,3,appended,clinicalskills
bn,0.901913875598086,0.641509433962264,0.906882591093117,741,114,627,4,appended,clinicalskills
tree,0.8464912280701751,0.7203389830508471,0.916329284750337,741,114,627,4,appended,clinicalskills
ensemble,0.8460925039872409,0.75,0.921727395411606,741,114,627,4,appended,clinicalskills
bn,0.524217597639967,0.208333333333333,0.37799043062201,627,124,503,5,appended,clinicalskills
tree,0.8222038735329961,0.669117647058823,0.875598086124402,627,124,503,5,appended,clinicalskills
ensemble,0.8180593856217528,0.7040000000000001,0.883572567783094,627,124,503,5,appended,clinicalskills
bn,0.598260713645329,0.581395348837209,0.6998011928429421,503,165,338,6,appended,clinicalskills
tree,0.8365339788416709,0.740331491712707,0.8449304174950301,503,165,338,6,appended,clinicalskills
ensemble,0.8365339788416709,0.740331491712707,0.8449304174950301,503,165,338,6,appended,clinicalskills
bn,0.8711593172119491,0.8523489932885909,0.8727810650887571,338,148,190,7,appended,clinicalskills
tree,0.8572546230440969,0.828947368421053,0.857988165680473,338,148,190,7,appended,clinicalskills
ensemble,0.8693100995732571,0.8897058823529409,0.875739644970414,338,148,190,7,appended,clinicalskills
bn,0.574431818181818,0.581395348837209,0.6157894736842111,190,80,110,8,appended,clinicalskills
tree,0.922727272727273,0.824742268041237,0.910526315789474,190,80,110,8,appended,clinicalskills
ensemble,0.922727272727273,0.824742268041237,0.910526315789474,190,80,110,8,appended,clinicalskills
bn,0.5,,0.8406921241050122,1676,267,1409,0,only,clinicalskills
tree,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,only,clinicalskills
ensemble,0.84716496147027,0.5863013698630141,0.878281622911695,1676,267,1409,0,only,clinicalskills
bn,0.872930410555307,0.574193548387097,0.885024840312278,1409,208,1201,1,only,clinicalskills
tree,0.825189745724717,0.638297872340426,0.898509581263307,1409,208,1201,1,only,clinicalskills
ensemble,0.825189745724717,0.638297872340426,0.898509581263307,1409,208,1201,1,only,clinicalskills
bn,0.8670549982026731,0.49800796812749,0.8575697211155381,1004,142,862,2,only,clinicalskills
tree,0.8325544916832779,0.641975308641975,0.904382470119522,1004,142,862,2,only,clinicalskills
ensemble,0.839016698800693,0.642424242424242,0.905378486055777,1004,142,862,2,only,clinicalskills
bn,0.877036838759327,0.588571428571429,0.8955916473317871,862,121,741,3,only,clinicalskills
tree,0.8499682136045771,0.6225165562913909,0.9025522041763342,862,121,741,3,only,clinicalskills
ensemble,0.8422948662183108,0.645390070921986,0.907192575406032,862,121,741,3,only,clinicalskills
bn,0.89274322169059,0.581920903954802,0.885290148448043,741,114,627,4,only,clinicalskills
tree,0.871212121212121,0.625,0.897435897435897,741,114,627,4,only,clinicalskills
ensemble,0.85725677830941,0.656934306569343,0.9041835357624828,741,114,627,4,only,clinicalskills
bn,0.8315991149874941,0.592814371257485,0.8516746411483249,627,124,503,5,only,clinicalskills
tree,0.7978419803758101,0.71304347826087,0.8803827751196172,627,124,503,5,only,clinicalskills
ensemble,0.803918424934265,0.7058823529411771,0.8803827751196172,627,124,503,5,only,clinicalskills
bn,0.5767616998386229,0.582089552238806,0.693836978131213,503,165,338,6,only,clinicalskills
tree,0.8367491482876099,0.7210526315789471,0.8389662027833,503,165,338,6,only,clinicalskills
ensemble,0.8367491482876099,0.7210526315789471,0.8389662027833,503,165,338,6,only,clinicalskills
bn,0.546870554765292,0.6486486486486489,0.5946745562130179,338,148,190,7,only,clinicalskills
tree,0.902631578947368,0.8,0.890532544378698,338,148,190,7,only,clinicalskills
ensemble,0.8587482219061171,0.8205128205128199,0.857988165680473,338,148,190,7,only,clinicalskills
bn,0.916477272727273,0.822916666666667,0.9052631578947372,190,80,110,8,only,clinicalskills
