model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
tree,0.543051912,0.612903226,0.845198675,1208,194,1014,2,only,cataractsurgery
ensemble,0.543051912,0.612903226,0.845198675,1208,194,1014,2,only,cataractsurgery
bn,0.843429106,0.608,0.88410596,1208,194,1014,2,appended,cataractsurgery
tree,0.809791781,0.737142857,0.908112583,1208,194,1014,2,appended,cataractsurgery
ensemble,0.800961793,0.744047619,0.907284768,1208,194,1014,2,appended,cataractsurgery
bn,0.795764037,0.535496957,0.820717131,1757,350,1407,0,only,cataractsurgery
tree,0.795764037,0.535496957,0.820717131,1757,350,1407,0,only,cataractsurgery
ensemble,0.795764037,0.535496957,0.820717131,1757,350,1407,0,only,cataractsurgery
bn,0.798404273,0.317241379,0.707889126,1407,199,1208,1,sum,cataractsurgery
tree,0.566270924,0.576923077,0.864250178,1407,199,1208,1,sum,cataractsurgery
ensemble,0.561659706,0.571428571,0.863539446,1407,199,1208,1,sum,cataractsurgery
bn,0.499524759,0.222222222,0.758382643,1014,235,779,3,only,cataractsurgery
tree,0.5,,0.768244576,1014,235,779,3,only,cataractsurgery
ensemble,0.498074454,0,0.765285996,1014,235,779,3,only,cataractsurgery
bn,0.534222817,0.298913043,0.695266272,1014,235,779,3,sum,cataractsurgery
tree,0.5,,0.768244576,1014,235,779,3,sum,cataractsurgery
ensemble,0.5,,0.768244576,1014,235,779,3,sum,cataractsurgery
bn,0.848726247,0.427884615,0.815920398,1407,199,1208,1,only,cataractsurgery
tree,0.832531865,0.473684211,0.845771144,1407,199,1208,1,only,cataractsurgery
ensemble,0.821566441,0.485893417,0.852167733,1407,199,1208,1,only,cataractsurgery
bn,0.845951612,0.477272727,0.847192608,1407,199,1208,1,appended,cataractsurgery
tree,0.747379281,0.630057803,0.890547264,1407,199,1208,1,appended,cataractsurgery
ensemble,0.744009784,0.640718563,0.891968728,1407,199,1208,1,appended,cataractsurgery
bn,0.809053504,0.689486553,0.793324775,779,316,463,4,only,cataractsurgery
tree,0.779540422,0.735849057,0.78690629,779,316,463,4,only,cataractsurgery
ensemble,0.779540422,0.735849057,0.78690629,779,316,463,4,only,cataractsurgery
bn,0.901913876,0.641509434,0.906882591,741,114,627,4,appended,clinicalskills
tree,0.846491228,0.720338983,0.916329285,741,114,627,4,appended,clinicalskills
ensemble,0.846092504,0.75,0.921727395,741,114,627,4,appended,clinicalskills
bn,0.868215091,0.502008032,0.859561753,1004,142,862,2,only,clinicalskills
tree,0.832554492,0.641975309,0.90438247,1004,142,862,2,only,clinicalskills
ensemble,0.839016699,0.642424242,0.905378486,1004,142,862,2,only,clinicalskills
bn,0.574431818,0.581395349,0.615789474,190,80,110,8,appended,clinicalskills
tree,0.922727273,0.824742268,0.910526316,190,80,110,8,appended,clinicalskills
ensemble,0.922727273,0.824742268,0.910526316,190,80,110,8,appended,clinicalskills
bn,0.892743222,0.581920904,0.885290148,741,114,627,4,only,clinicalskills
tree,0.871212121,0.625,0.897435897,741,114,627,4,only,clinicalskills
ensemble,0.857256778,0.656934307,0.904183536,741,114,627,4,only,clinicalskills
bn,0.863787131,0.601036269,0.897410359,1004,142,862,2,appended,clinicalskills
tree,0.778414104,0.702479339,0.907370518,1004,142,862,2,appended,clinicalskills
ensemble,0.794279599,0.697674419,0.90936255,1004,142,862,2,appended,clinicalskills
bn,0.920383444,0.620879121,0.910672854,862,121,741,3,appended,clinicalskills
tree,0.835296283,0.676923077,0.912993039,862,121,741,3,appended,clinicalskills
ensemble,0.837995338,0.698412698,0.917633411,862,121,741,3,appended,clinicalskills
bn,0.916477273,0.822916667,0.905263158,190,80,110,8,only,clinicalskills
tree,0.922727273,0.824742268,0.910526316,190,80,110,8,only,clinicalskills
ensemble,0.922727273,0.824742268,0.910526316,190,80,110,8,only,clinicalskills
bn,0.5314367,0.538461538,0.573964497,338,148,190,7,sum,clinicalskills
tree,0.5,,0.562130178,338,148,190,7,sum,clinicalskills
ensemble,0.5,,0.562130178,338,148,190,7,sum,clinicalskills
bn,0.58179682,0.342281879,0.819020582,1409,208,1201,1,sum,clinicalskills
tree,0.504941795,0.227272727,0.843860894,1409,208,1201,1,sum,clinicalskills
ensemble,0.502726094,0.285714286,0.850248403,1409,208,1201,1,sum,clinicalskills
bn,0.598260714,0.581395349,0.699801193,503,165,338,6,appended,clinicalskills
tree,0.836533979,0.740331492,0.844930417,503,165,338,6,appended,clinicalskills
ensemble,0.836533979,0.740331492,0.844930417,503,165,338,6,appended,clinicalskills
bn,0.524217598,0.208333333,0.377990431,627,124,503,5,appended,clinicalskills
tree,0.822203874,0.669117647,0.875598086,627,124,503,5,appended,clinicalskills
ensemble,0.818059386,0.704,0.883572568,627,124,503,5,appended,clinicalskills
bn,0.871159317,0.852348993,0.872781065,338,148,190,7,appended,clinicalskills
tree,0.857254623,0.828947368,0.857988166,338,148,190,7,appended,clinicalskills
ensemble,0.8693101,0.889705882,0.875739645,338,148,190,7,appended,clinicalskills
bn,0.501872659,1,0.841288783,1676,267,1409,0,only,clinicalskills
tree,0.847164961,0.58630137,0.878281623,1676,267,1409,0,only,clinicalskills
ensemble,0.847164961,0.58630137,0.878281623,1676,267,1409,0,only,clinicalskills
